lugar
"Bogotá,Distrito Capital"
"Medellín,Antioquia"
"Cali,Valle del Cauca"
"Barranquilla,Atlántico"
"Cartagena,Bolívar"
"Soacha,Cundinamarca"
"Cúcuta,Norte de Santander"
"Soledad,Atlántico"
"Bucaramanga,Santander"
"Bello,Antioquia"
"Valledupar,Cesar"
"Villavicencio,Meta"
"Santa Marta,Magdalena"
"Ibagué,Tolima"
"Montería,Córdoba"
"Pereira,Risaralda"
"Manizales,Caldas"
"Pasto,Nariño"
"Neiva,Huila"
"Palmira,Valle del Cauca"
"Popayán,Cauca"
"Buenaventura,Valle del Cauca"
"Armenia,Quindío"
"Floridablanca,Santander"
"Sincelejo,Sucre"
"Itagüí,Antioquia"
"Tumaco,Nariño"
"Envigado,Antioquia"
"Dosquebradas,Risaralda"
"Tuluá,Valle del Cauca"
"Barrancabermeja,Santander"
"Riohacha,La Guajira"
