title,price,area,habitaciones,baños,parking,terraza,piscina,agencia,destacado
PRIMAVERA LIFE - MALL Y OFFICE,Desde $ 1.938.844,Desde  13 m²,,,,,,LIFEHEALTH UNIVERSAL EXPORT,
"Bogota, Tequendama",Desde $ 269.000,Desde  1 m²,,,,,,Regus Colombia Developers,
Oficina en Arriendo en Itagui,$ 42.000.000,350 m²,,10 baños,Parqueadero,,,Juan Fernando Corchuelo,DESTACADO
Oficina en Arriendo en Itagui,$ 28.560.000,200 m²,,10 baños,Parqueadero,,,Juan Fernando Corchuelo,DESTACADO
Oficina en Arriendo en Itagui,$ 126.000.000,700 m²,,10 baños,Parqueadero,,,Juan Fernando Corchuelo,DESTACADO
Oficina en Arriendo en Teusaquillo,$ 28.500.000,1.050 m²,,5 baños,,Terraza,,Fundación teatral Barajas,DESTACADO
Oficina en Arriendo en Teusaquillo,$ 28.500.000,1.050 m²,,5 baños,,Terraza,,Fundación teatral Barajas,DESTACADO
Oficina en Arriendo en Teusaquillo,$ 28.500.000,1.050 m²,,5 baños,,Terraza,,Fundación teatral Barajas,DESTACADO
Oficina en Arriendo en Teusaquillo,$ 28.500.000,1.050 m²,,5 baños,,Terraza,,Fundación teatral Barajas,DESTACADO
Oficina en Arriendo en Teusaquillo,$ 28.500.000,1.050 m²,,5 baños,,,,Fundación teatral Barajas,DESTACADO
Local comercial en Arriendo en Teusaquillo,$ 28.500.000,1.050 m²,,5 baños,,,,Fundación teatral Barajas,DESTACADO
Local comercial en Arriendo en Teusaquillo,$ 28.500.000,1.050 m²,,5 baños,,,,Fundación teatral Barajas,DESTACADO
Local comercial en Arriendo en Teusaquillo,$ 28.500.000,1.050 m²,,5 baños,,,,Fundación teatral Barajas,DESTACADO
Local comercial en Arriendo en Teusaquillo,$ 28.500.000,1.050 m²,,5 baños,,,,Fundación teatral Barajas,DESTACADO
Oficina en Arriendo en Teusaquillo,$ 28.500.000,1.050 m²,,5 baños,,Terraza,,Fundación teatral Barajas,DESTACADO
Apartamento en Arriendo en El Poblado,$ 4.500.000,90 m²,2 habitaciones,2 baños,Parqueadero,,,natalia villar,DESTACADO
Oficina en Arriendo en Kennedy,$ 33.000.000,1.667 m²,1 habitación,6 baños,Parqueadero,,,GRIMAC SAS,DESTACADO
Oficina en Arriendo en Kennedy,$ 26.000.000,1.369 m²,,8 baños,Parqueadero,,,GRIMAC SAS,DESTACADO
Oficina en Arriendo en Kennedy,$ 32.000.000,1.639 m²,,17 baños,Parqueadero,,,GRIMAC SAS,DESTACADO
Apartamento en Arriendo en Chapinero,$ 3.600.000,75 m²,2 habitaciones,2 baños,Parqueadero,,,CONECTAMOS. ¡Tu inmueble excepcional!,DESTACADO
Oficina en Arriendo en Guayabal,$ 5.500.000,84 m²,2 habitaciones,2 baños,,,,ACTIVOS EFECTIVOS S.A.S,DESTACADO
Apartamento en Arriendo en Sabaneta,$ 3.700.000,101 m²,3 habitaciones,2 baños,Parqueadero,,,ACTIVOS EFECTIVOS S.A.S,DESTACADO
Lote industrial en Arriendo en Candelaria,$ 6.950.000,198 m²,,,,,,ACTIVOS EFECTIVOS S.A.S,DESTACADO
Local comercial en Arriendo,$ 8.000.000,10 m²,,1 baño,,,,localia,
Local comercial en Arriendo,$ 8.000.000,10 m²,,1 baño,,,,localia,
Local comercial en Arriendo en Kennedy,$ 2.000.000,70 m²,,1 baño,,,,ANDRES REAL STATE BROKER ,DESTACADO
Apartaestudio en Arriendo en Caney,$ 1.400.000,1.500 m²,1 habitación,2 baños,,,,E&C Asesores S.A.,
Oficina en Arriendo en Candelaria,$ 900.000,13 m²,,,,,,INVERSIONES REGO ALVAREZ,DESTACADO
Local comercial en Arriendo en San Patricio,$ 6.000.000,80 m²,,2 baños,,,,MULTIFLEX INMOBILIARIA,DESTACADO
Apartamento en Arriendo en Chía,$ 2.600.000,60 m²,1 habitación,2 baños,Parqueadero,,,MULTIFLEX INMOBILIARIA,
Apartamento en Arriendo en Chía,$ 2.600.000,60 m²,1 habitación,2 baños,Parqueadero,,,MULTIFLEX INMOBILIARIA,
Apartamento en Arriendo en Chía,$ 2.700.000,60 m²,1 habitación,2 baños,Parqueadero,,,MULTIFLEX INMOBILIARIA,
